,Localty,Min,Max,Avg,Change
0,Thane West,0,194951 , 101187.33 ,19.8
1,Mira Road East,678,197266 , 92444.61 ,7.2
2,Kharghar,648,109948 , 56700.82 ,-19
3,Chembur,1240,48273 , 39984.16 ,31.3
4,Kandivali East,219,172571 , 68358.17 ,13.4
5,Powai,750,85308 , 51426.88 ,-12.7
6,Goregaon East,714,60771 , 36444.47 ,48.6
7,Dombivali,550,17094 , 14877.86 ,-32.3
8,Ulwe,707,225193 , 61486.98 ,44.4
9,Andheri East,1167,114444 , 54111 ,-16.1
10,Virar,347,76212 , 11771.18 ,5.9
11,Panvel,2200,77778 , 27260.07 ,32.1
12,Andheri West,1750,118750 , 61324.84 ,43
13,Mulund West,3304,32553 , 29609.91 ,50.5
14,Malad West,3100,40373 , 3524.56 ,18.1
15,Kalyan West,240,24444 , 18820.82 ,7.5
16,Borivali West,271,170667 , 5433.26 ,11.5
17,Bandra West,200,153333 , 126661.22 ,-19.8
18,Dahisar,250,135333 , 63805.44 ,62.9
19,Bhandup West,2411,29195 , 26156.95 ,81.4
20,Kamothe,590,69091 , 48976.97 ,29.3
21,Borivali East,225,185393 , 74882.71 ,27.6
22,Kandivali West,1083,34762 , 30517.83 ,35.6
23,Malad East,1167,150833 , 81481.67 ,-6.4
24,Airoli,4481,63810 , 3121.79 ,40.4
25,Goregaon West,2375,45714 , 34218.92 ,3.9
26,Naigaon East,475,12479 , 10327.61 ,40.5
27,Nala Sopara,365,21625 , 10297.36 ,-5.9
28,Koper Khairane,1350,45940 , 27563.5 ,15.7
29,Santacruz East,347,85938 , 58105.1 ,23.1
30,Lower Parel,2653,158333 , 67978.7 ,22.2
31,Badlapur East,369,11042 , 9860.47 ,-31.1
32,Taloja,2500,35439 , 13772.47 ,29.1
33,Dombivali East,450,77490 , 50760.16 ,-13.6
34,Kanjurmarg,10656,49095 , 41165.94 ,45.4
35,Vasai,2787,37037 , 18168.85 ,157.5
36,Badlapur West,381,29197 , 15292.92 ,-25.5
37,Wadala,446,61667 , 43737.21 ,10.6
38,Ghansoli,2429,37860 , 27725.83 ,61.3
39,Ville Parle East,6667,58333 , 47590.01 ,41.7
40,Neral,1580,10617 , 9437 ,26
41,Worli,213,122026 , 74523.7 ,3.3
42,Bhiwandi,397,19947 , 15493.27 ,134.6
43,Jogeshwari West,6328,35000 , 31625.39 ,34.5
44,Parel,446,60606 , 51783.1 ,-4.8
45,mumbai,200,78571 , 58116.52 ,217.9
46,Ambernath East,389,13300 , 11831.49 ,7
47,Virar West,421,10862 , 9122.95 ,11.3
48,Prabhadevi,481,175000 , 78589.23 ,-9.9
49,Seawoods,21,25000 , 22112.94 ,72.2
50,Karanjade,484,20000 , 16586.77 ,28.5
51,Bandra East,991,75282 , 6291.25 ,-8.6
52,Khar West,382,74000 , 6531.64 ,-17.5
53,Santacruz West,2133,131938 , 73994.54 ,1.9
54,Mulund East,200,41641 , 28434.07 ,32.8
55,Vikhroli,610,74299 , 42812.12 ,56.8
56,Juhu,367,125000 , 85144.62 ,48.7
57,Sion,1677,48111 , 42630.25 ,-35.9
58,Nerul,2157,40000 , 22541.16 ,44.1
59,Ambernath West,2713,21605 , 9580.71 ,308.6
