Location,Borough,Town,OS,Postalcode,location,point,latitude,longitude
Abbey Wood,"Bexley, Greenwich ",LONDON,TQ465785,SE2,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Acton,"Ealing, Hammersmith and Fulham",LONDON,TQ205805,W3,"Ealing, Hammersmith & West London College, St Paul's Court, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 9BL, United Kingdom","(51.49153695, -0.21497089652160112, 0.0)",51.49153695,-0.214970897
Acton,"Ealing, Hammersmith and Fulham",LONDON,TQ205805,W4,"Ealing, Hammersmith & West London College, St Paul's Court, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 9BL, United Kingdom","(51.49153695, -0.21497089652160112, 0.0)",51.49153695,-0.214970897
Aldgate,City,LONDON,TQ334813,EC3,"City of London, Greater London, England, United Kingdom","(51.5156177, -0.0919983, 0.0)",51.5156177,-0.0919983
Aldwych,Westminster,LONDON,TQ307810,WC2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Anerley,Bromley,LONDON,TQ345695,SE20,"Bromley, London, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142, 0.0)",51.4028046,0.0148142
Angel,Islington,LONDON,TQ345665,EC1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Angel,Islington,LONDON,TQ345665,N1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Archway,Islington,LONDON,TQ285875,N19,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Arkley,Barnet,"BARNET, LONDON",TQ225955,EN5,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Arkley,Barnet,"BARNET, LONDON",TQ225955,NW7,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Arnos Grove,Enfield,LONDON,TQ295925,N11,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
