,Area,Location,Latitude,Longitude,Zone,Neighbourhood,Localty,Min,Max,Avg,Change,latitude,longitude
41,Amboli,"Andheri,Western Suburbs",19.1293,72.8434,Andheri,Western Suburbs,Jogeshwari West,6328,35000,31625.39,34.5,19.136394,72.83738170000001
69,D.N. Nagar,"Andheri,Western Suburbs",19.124085,72.831373,Andheri,Western Suburbs,Andheri West,1750,118750,61324.84,43.0,19.1172495,72.833968
126,Four Bungalows,"Andheri,Western Suburbs",19.124714,72.82721,Andheri,Western Suburbs,Andheri West,1750,118750,61324.84,43.0,19.1172495,72.833968
212,Lokhandwala,"Andheri,Western Suburbs",19.130815,72.82927,Andheri,Western Suburbs,Jogeshwari West,6328,35000,31625.39,34.5,19.136394,72.83738170000001
514,Bhayandar,"Mira-Bhayandar,Western Suburbs",19.29,72.85,Mira-Bhayandar,Western Suburbs,Mira Road East,678,197266,92444.61,7.2,19.2816975,72.8560676
701,Kherwadi,"Bandra,Western Suburbs",19.0553,72.8314,Bandra,Western Suburbs,Bandra West,200,153333,126661.22,-19.8,19.058335800000002,72.83026690000001
758,Pali Hill,"Bandra,Western Suburbs",19.067999999999998,72.82600000000001,Bandra,Western Suburbs,Bandra West,200,153333,126661.22,-19.8,19.058335800000002,72.83026690000001
816,I.C. Colony,"Borivali (West),Western Suburbs",19.247039,72.84983000000001,Borivali (West),Western Suburbs,Dahisar,250,135333,63805.44,62.9,19.2494501,72.85962059999999
994,Bangur Nagar,"Goregaon,Western Suburbs",19.167362,72.832252,Goregaon,Western Suburbs,Goregaon West,2375,45714,34218.92,3.9,19.1633281,72.8411995
1105,Poisar,"Kandivali West,Western Suburbs",19.204511,72.837639,Kandivali West,Western Suburbs,Kandivali West,1083,34762,30517.83,35.6,19.2083801,72.84222700000001
1162,Mahavir Nagar,"Kandivali West,Western Suburbs",19.211319,72.842737,Kandivali West,Western Suburbs,Kandivali West,1083,34762,30517.83,35.6,19.2083801,72.84222700000001
1201,Thakur village,"Kandivali East,Western Suburbs",19.210206,72.87298,Kandivali East,Western Suburbs,Kandivali East,219,172571,68358.17,13.4,19.210380899999997,72.86408370000001
1271,Pali Naka,"Khar,Western Suburbs",19.062742,72.829396,Khar,Western Suburbs,Bandra West,200,153333,126661.22,-19.8,19.058335800000002,72.83026690000001
1359,Khar Danda,"Khar,Western Suburbs",19.068598,72.84004200000001,Khar,Western Suburbs,Bandra East,991,75282,6291.25,-8.6,19.0616565,72.8498111
1374,Dindoshi,"Malad,Western Suburbs",19.176382,72.864891,Malad,Western Suburbs,Goregaon East,714,60771,36444.47,48.6,19.169262300000003,72.8552548
1391,Dindoshi,"Malad,Western Suburbs",19.176382,72.864891,Malad,Western Suburbs,Malad East,1167,150833,81481.67,-6.4,19.186021899999997,72.8563181
1439,Sunder Nagar,"Malad,Western Suburbs",19.175,72.842,Malad,Western Suburbs,Malad West,3100,40373,3524.56,18.1,19.1840129,72.8412155
1665,Irla,"Vile Parle,Western Suburbs",19.108056,72.83805600000001,Vile Parle,Western Suburbs,Andheri West,1750,118750,61324.84,43.0,19.1172495,72.833968
2000,Chandivali,"Powai,Eastern Suburbs",19.11,72.9,Powai,Eastern Suburbs,Powai,750,85308,51426.88,-12.7,19.1187195,72.9073476
2057,Hiranandani Gardens,"Powai,Eastern Suburbs",19.118986,72.911767,Powai,Eastern Suburbs,Powai,750,85308,51426.88,-12.7,19.1187195,72.9073476
